"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.02685981,       1.319487269,         0.8487371,       4.463888194
          0,           0,           1,      -1.261807589,       1.189447813,       1.192295235,       4.230844677
          0,           0,           2,       -1.32386553,       1.117846988,       1.086342912,       4.172911038
          0,           0,           3,      -1.393978871,       1.019313674,      0.9923619854,       4.105588095
          0,           0,           4,      -1.478225124,      0.9253138302,       0.882961529,       4.024112744
          0,           0,           5,      -1.560607331,      0.7895437625,      0.7547765939,       3.946132363
          0,           0,           6,      -1.627177294,      0.7328885632,      0.6892003306,        3.88331961
          0,           0,           7,      -1.703954965,      0.6824191942,      0.6023707235,       3.806657123
          0,           0,           8,      -1.782778147,      0.5999433349,      0.4943052223,        3.72777385
          0,           0,           9,      -1.870169156,      0.4910854346,      0.3978492703,       3.641719497
          0,           0,          10,      -1.953259948,      0.3937216585,      0.2994512455,       3.559298839
          0,           0,          11,      -2.040925568,      0.3102345633,      0.2070982965,       3.471852113
          0,           0,          12,      -2.135291754,      0.2272689157,      0.1254396188,        3.37761113
          0,           0,          13,      -2.224830831,       0.151086078,     0.04071985629,       3.287179601
          0,           0,          14,      -2.311191932,     0.07331211466,    -0.04360058843,       3.199928448
          0,           0,          15,      -2.397820673,    -0.01516586714,     -0.1282199068,       3.113520493
          0,           0,          16,      -2.482694865,     -0.1089373072,     -0.2220271641,       3.029692737
          0,           0,          17,      -2.564333721,     -0.1986900209,     -0.3216646407,       2.949116017
          0,           0,          18,      -2.644810442,     -0.2818421819,     -0.4134462414,       2.869299754
          0,           0,          19,      -2.725481084,     -0.3602750004,     -0.4926175174,       2.788814548
          0,           0,          20,      -2.806299885,     -0.4357621537,     -0.5681558496,       2.707975436
          0,           0,          21,        -2.8871719,     -0.5102086383,     -0.6488740393,       2.627291836
          0,           0,          22,      -2.968221326,     -0.5858007502,     -0.7366279554,       2.546856192
          0,           0,          23,      -3.049243132,     -0.6641321525,     -0.8287526844,         2.4667386
          0,           0,          24,      -3.128384233,     -0.7447369534,     -0.9218468552,       2.388439042
          0,           0,          25,      -3.202675654,     -0.8254704749,      -1.012661171,       2.314643923
          0,           0,          26,      -3.269735574,     -0.9037448926,      -1.098282575,         2.2477088
          0,           0,          27,      -3.329473059,     -0.9778427867,      -1.177051271,        2.18792951
          0,           0,          28,      -3.383737856,      -1.047535558,      -1.249141182,       2.133664241
          0,           0,          29,      -3.434540676,      -1.113566089,      -1.316095221,       2.082965611
          0,           0,          30,      -3.482875165,      -1.176723298,       -1.37965521,       2.034810685
          0,           0,          31,      -3.528684893,      -1.237356077,      -1.440866362,       1.989203363
          0,           0,          32,      -3.571339138,      -1.295328732,       -1.50023959,       1.946731295
          0,           0,          33,      -3.610309581,       -1.35017008,      -1.557656665,       1.907904222
          0,           0,          34,      -3.645376579,      -1.401523101,      -1.612934785,       1.872956595
          0,           0,          35,       -3.67654997,      -1.449275197,      -1.665189986,       1.841900623
          0,           0,          36,      -3.704320263,      -1.493702251,      -1.713495957,       1.814287281
